	logFC	AveExpr	t	P.Value	FDR	B
UBXN4	-0.059045333	9.482013135	0.374854184	0.718345411	0.902792816	-6.316522834
NUDT22	0.07179495	8.898096827	-0.374843108	0.718353305	0.902792816	-6.316527333
LRRIQ1	0.095019241	5.571033559	-0.374812286	0.71837527	0.902792816	-6.316539851
IL12A	-0.121847111	5.79469292	0.374811074	0.718376134	0.902792816	-6.316540343
MED8	0.057701487	9.672198987	-0.374692703	0.718460498	0.902792816	-6.31658841
RPS14	0.058040778	12.11867799	-0.374562418	0.718553356	0.902792816	-6.316641297
GRIK4	-0.135718593	5.365950346	0.374502756	0.718595881	0.902792816	-6.316665509
TMEM98	-0.134915544	6.287585897	0.374461094	0.718625577	0.902792816	-6.316682415
GPC5	-0.088088207	5.065083395	0.374442671	0.718638709	0.902792816	-6.31668989
MGAM	-0.12792134	5.169864699	0.374371098	0.718689726	0.902792816	-6.316718927
ERBB2	0.095487962	6.850633931	-0.374335499	0.718715101	0.902792816	-6.316733368
KCNC2	0.110356549	5.613427812	-0.374262539	0.71876711	0.902792816	-6.31676296
RHBDF1	0.073959593	8.302773479	-0.374227747	0.718791911	0.902792816	-6.316777069
NBL1	0.075580968	10.12663589	-0.374191468	0.718817774	0.902792816	-6.316791781
SCN8A	-0.10851252	5.179730174	0.373907479	0.719020232	0.902983754	-6.31690689
ZNF436-AS1	0.085546153	6.1352835	-0.373846898	0.719063424	0.902983754	-6.316931435
UCHL5	-0.076936955	11.43294412	0.373639856	0.719211044	0.903098082	-6.317015289
SYVN1	0.073235289	9.159175038	-0.373530662	0.719288904	0.903098082	-6.317059496
ARMC6	0.09846045	8.362952047	-0.373522231	0.719294916	0.903098082	-6.317062909
LRRC37A11P	-0.120210217	7.28590739	0.373339073	0.719425525	0.903203279	-6.31713703
SLITRK3	-0.106018079	4.909791934	0.373262313	0.719480265	0.903213218	-6.317168084
TRMT10A	0.115633009	5.619023636	-0.372761236	0.719837641	0.90355409	-6.317370644
GON4L	0.069331581	11.11538859	-0.37273825	0.719854038	0.90355409	-6.31737993
CCDC106	-0.143377068	5.791985251	0.372672998	0.719900582	0.90355409	-6.317406287
SMC1A	-0.060589213	12.03509961	0.372600791	0.719952089	0.90355409	-6.317435449
KRTAP4-4	-0.122634363	5.804698221	0.372553255	0.719985999	0.90355409	-6.317454643
SLC27A1	0.112498083	6.719769369	-0.372384474	0.720106403	0.903557165	-6.317522777
CTSA	-0.061483968	13.94529217	0.372364784	0.72012045	0.903557165	-6.317530724
GSTT2	-0.102310404	6.720502895	0.37235284	0.720128971	0.903557165	-6.317535544
TAF1L	0.05998546	10.19872689	-0.372125809	0.720290946	0.903624916	-6.317627139
SLC37A2	0.098374064	5.531482625	-0.372108222	0.720303494	0.903624916	-6.317634232
TNFSF13B	-0.099071356	5.712873355	0.372080181	0.720323501	0.903624916	-6.317645541
ISYNA1	-0.108407214	5.078361927	0.371792025	0.72052911	0.903780458	-6.317761704
MMP9	0.121004562	4.655233927	-0.371717599	0.720582219	0.903780458	-6.317791693
ARHGEF35	0.065698525	11.74597325	-0.371648959	0.720631202	0.903780458	-6.317819346
WNK3	0.069797392	4.856362959	-0.371643777	0.7206349	0.903780458	-6.317821434
HOXD3	-0.147837393	5.367926668	0.371373941	0.720827471	0.903963199	-6.317930092
HLF	-0.104360557	4.708140725	0.371246043	0.720918755	0.904018903	-6.317981568
NIPA2	0.057186515	11.7764631	-0.370999707	0.721094584	0.904156198	-6.318080664
ZNF417	-0.090673449	5.50542488	0.370961319	0.721121986	0.904156198	-6.318096101
RTF2	0.055559412	11.22738699	-0.370819795	0.721223012	0.904164405	-6.318152999
VPS39	0.073618117	10.2404511	-0.370779684	0.721251646	0.904164405	-6.318169121
ANGPTL6	-0.097648149	4.888577025	0.370722379	0.721292555	0.904164405	-6.318192152
PKDREJ	-0.099901892	5.199084893	0.370651318	0.721343286	0.904164405	-6.318220706
THBS4	-0.119549476	5.195116001	0.370623854	0.721362892	0.904164405	-6.31823174
ARHGDIG	-0.130031389	4.9110118	0.370444457	0.721490973	0.904212362	-6.318303798
MARCKS	-0.065708245	11.62593126	0.370438953	0.721494903	0.904212362	-6.318306008
KANSL1L	0.078639416	10.22418811	-0.370001642	0.721807161	0.90443967	-6.318481518
RAI1	-0.065980997	10.28328484	0.370001488	0.721807271	0.90443967	-6.318481579
CLSTN1	-0.073999781	10.15453719	0.369987952	0.721816937	0.90443967	-6.318487009
ZNF830	-0.067058002	8.04561475	0.369817194	0.721938882	0.904469745	-6.318555484
SMURF1	0.083979319	12.03220112	-0.369693543	0.722027191	0.904469745	-6.31860505
SLFN11	0.117920636	6.263229555	-0.369682276	0.722035238	0.904469745	-6.318609565
BLOC1S4	0.158314559	7.306927154	-0.369629933	0.722072621	0.904469745	-6.318630542
MRPS9	0.056289343	9.89082	-0.369626071	0.72207538	0.904469745	-6.318632089
IFI30	0.067275726	11.83380043	-0.369466156	0.722189598	0.904481748	-6.318696157
SFRP1	-0.071361304	4.575801829	0.369459587	0.72219429	0.904481748	-6.318698788
R3HCC1L	-0.070620032	9.127781685	0.369344536	0.722276469	0.904481748	-6.318744864
PTAR1	-0.125465909	6.851132762	0.369302937	0.722306183	0.904481748	-6.318761521
PAIP1	-0.068759157	10.53590527	0.369284426	0.722319406	0.904481748	-6.318768932
ZNF626	-0.073574961	5.352223405	0.3690223	0.722506657	0.904562815	-6.318873841
LOC728673	0.17962914	5.593796992	-0.369004238	0.72251956	0.904562815	-6.318881068
OXT	0.114212626	4.658359099	-0.368975803	0.722539874	0.904562815	-6.318892443
ZBTB41	-0.208078311	8.600484274	0.368878704	0.722609244	0.904562815	-6.318931282
PLEKHA7	0.055606618	9.758269701	-0.368792583	0.722670773	0.904562815	-6.318965721
OR4N4	-0.109657084	5.221586186	0.368784645	0.722676444	0.904562815	-6.318968895
SAPCD2	-0.072204521	9.85793558	0.368642586	0.722777944	0.904562815	-6.319025685
PRM3	0.141060818	5.27245619	-0.368582815	0.722820651	0.904562815	-6.319049573
CNGB3	0.095431285	4.867148419	-0.368573176	0.722827538	0.904562815	-6.319053425
CDC6	0.063886099	10.06585616	-0.368518961	0.722866277	0.904562815	-6.319075089
KCNB1	0.090300341	5.045660272	-0.368471813	0.722899966	0.904562815	-6.319093927
ZMYND11	-0.077754118	11.33182521	0.368405971	0.722947015	0.904562908	-6.319120229
ROBO3	0.162839161	6.948395442	-0.368340462	0.722993827	0.904562908	-6.319146394
CCT8L2	-0.127132867	5.682441416	0.368077869	0.723181484	0.904739013	-6.319251232
CCDC138	0.100466985	8.016013989	-0.367886488	0.723318265	0.904809717	-6.319327594
OLFM3	-0.073194573	5.312572578	0.36783809	0.723352856	0.904809717	-6.319346898
SOX8	0.100786971	5.228320962	-0.367801908	0.723378717	0.904809717	-6.319361329
MGAT4D	0.095294191	5.03024091	-0.367625041	0.723505138	0.904909169	-6.31943185
CARMIL2	-0.106792729	5.546340893	0.367379336	0.723680778	0.905056328	-6.319529764
TPSAB1	-0.106904676	5.731939954	0.36732918	0.723716634	0.905056328	-6.319549743
HRAS	-0.067435598	11.04648663	0.367093298	0.723885273	0.905077859	-6.319643671
CYP11A1	-0.221677875	5.896544841	0.367052593	0.723914375	0.905077859	-6.319659874
BCORL1	-0.058349737	9.813141788	0.367002827	0.723949956	0.905077859	-6.319679681
ITPKB	-0.078687206	5.452302662	0.366979376	0.723966724	0.905077859	-6.319689014
IGFBP6	0.064436522	10.7031489	-0.36696955	0.72397375	0.905077859	-6.319692924
ANP32A	-0.061102145	12.42721666	0.366911344	0.724015367	0.905077859	-6.319716085
PWP1	0.067738897	12.10184423	-0.366705705	0.724162408	0.90510038	-6.319797883
PRMT1	0.061184899	12.85021464	-0.366686433	0.724176189	0.90510038	-6.319805547
THUMPD3	-0.075415462	9.48802351	0.36667707	0.724182884	0.90510038	-6.31980927
ELAC1	-0.070154679	6.25789844	0.366623676	0.724221066	0.90510038	-6.3198305
DHX8	0.059961014	10.34548301	-0.366466723	0.724333306	0.905182008	-6.319892889
CEP350	-0.07740575	7.819885888	0.366210098	0.724516839	0.905267818	-6.319994843
TEC	0.097833533	7.56577584	-0.366111915	0.724587063	0.905267818	-6.320033831
OR14I1	-0.066794419	4.685969211	0.366064468	0.724621	0.905267818	-6.320052669
C12orf60	-0.061445865	7.140107108	0.366046301	0.724633994	0.905267818	-6.320059881
ORC6	-0.063201899	10.19180446	0.366042631	0.724636619	0.905267818	-6.320061338
KRTAP19-5	-0.152609033	6.114246036	0.365934728	0.7247138	0.905305609	-6.320104167
ROS1	0.069017178	4.858794214	-0.365770951	0.724830954	0.905315372	-6.32016915
ATP5F1E	0.065863984	11.24502558	-0.365742093	0.724851598	0.905315372	-6.320180598
TRIM23	-0.077350913	8.376888463	0.365726977	0.724862411	0.905315372	-6.320186594
CD160	0.127309686	6.583385422	-0.365507704	0.725019277	0.905452664	-6.320273543
GOT2	0.065365478	10.8566016	-0.365420105	0.725081949	0.905472311	-6.320308264
LOC285097	-0.163327579	5.597539564	0.365273907	0.725186549	0.905477855	-6.320366196
GRK2	0.055754405	9.312742788	-0.365165281	0.725264272	0.905477855	-6.320409224
CREM	-0.090065082	7.406039184	0.365156374	0.725270645	0.905477855	-6.320412752
PLCG1	0.073069223	8.87500729	-0.365151477	0.725274149	0.905477855	-6.320414691
LELP1	-0.084314036	5.623326024	0.365004839	0.725379076	0.905497776	-6.320472756
CCKAR	0.130934896	5.477040687	-0.364958656	0.725412124	0.905497776	-6.320491038
TBX1	-0.068145945	5.394630857	0.364842017	0.725495591	0.905497776	-6.320537202
SRARP	0.162274414	5.251296427	-0.364832194	0.72550262	0.905497776	-6.320541089
TMEM248	0.064253658	11.25295328	-0.364655896	0.725628787	0.905497776	-6.320610836
ZNF284	0.131482588	6.024444817	-0.364587799	0.725677523	0.905497776	-6.320637768
HNRNPD	-0.065976861	13.27083872	0.36457843	0.725684228	0.905497776	-6.320641473
PASD1	0.130202563	5.089763261	-0.364460301	0.725768775	0.905497776	-6.32068818
FAM9C	-0.07442369	5.261143463	0.364453821	0.725773413	0.905497776	-6.320690741
DIO1	-0.118713253	5.489764981	0.364320393	0.725868914	0.905497776	-6.320743478
CPNE2	0.066193906	8.32651374	-0.364312653	0.725874454	0.905497776	-6.320746537
ANKRD34A	-0.110404289	5.538528879	0.364125412	0.726008481	0.905497776	-6.320820511
HAND2-AS1	0.080771588	5.09266807	-0.364107081	0.726021602	0.905497776	-6.32082775
ZADH2	0.0841777	8.835594631	-0.364074965	0.726044592	0.905497776	-6.320840434
FAM219A	-0.081257383	10.48937271	0.36407309	0.726045935	0.905497776	-6.320841175
PSKH2	-0.157533692	5.738185169	0.363949469	0.72613443	0.905497776	-6.320889987
CMC1	0.11851925	7.385026667	-0.363948353	0.726135229	0.905497776	-6.320890428
SOWAHB	0.082031257	4.759583879	-0.363937064	0.726143311	0.905497776	-6.320894885
CNEP1R1	-0.077045895	8.997464515	0.363883034	0.72618199	0.905497776	-6.320916213
BTNL2	-0.109331506	5.022037843	0.363664619	0.72633836	0.905634216	-6.321002401
PIAS4	0.061606304	9.606455928	-0.363472834	0.726475676	0.905738218	-6.321078039
SLC35G2	0.091792555	5.448414544	-0.363416965	0.726515679	0.905738218	-6.321100066
CDH6	0.109811008	6.375518265	-0.362877727	0.726901833	0.906091646	-6.3213125
ZNF133	0.06475757	7.841067828	-0.362843916	0.726926049	0.906091646	-6.32132581
OR4K17	-0.070390727	4.88425454	0.362795989	0.726960374	0.906091646	-6.321344674
NOTCH2NLA	-0.060598469	12.19019214	0.362758728	0.726987061	0.906091646	-6.321359339
ATOH7	0.123839672	4.712323056	-0.362530981	0.727150187	0.906202798	-6.32144894
PM20D2	0.112537977	6.473490121	-0.362420812	0.727229101	0.906202798	-6.321492264
CD300LB	0.125013606	5.458080308	-0.362406486	0.727239364	0.906202798	-6.321497897
TRMT44	0.076688037	6.220578865	-0.362371879	0.727264153	0.906202798	-6.321511503
CFAP418	-0.132040347	5.60098936	0.362255732	0.727347356	0.906215079	-6.321557158
ARID3A	0.078611437	6.842641232	-0.362225733	0.727368846	0.906215079	-6.321568948
DSTN	0.070798868	13.11283913	-0.362161384	0.727414945	0.906215079	-6.321594234
CALCA	-0.05803066	5.459589469	0.361986251	0.727540414	0.906312857	-6.321663031
ABCG4	0.085761017	4.794340141	-0.361567628	0.727840361	0.906442106	-6.321827349
TUT7	0.062364166	9.580695781	-0.361403857	0.727957718	0.906442106	-6.321891582
GGA1	0.06805869	9.51744396	-0.361400389	0.727960203	0.906442106	-6.321892941
DCSTAMP	-0.124593971	5.468893418	0.361374087	0.727979052	0.906442106	-6.321903255
CSH2	0.115251849	5.313181374	-0.361350431	0.727996004	0.906442106	-6.32191253
MAB21L4	0.080023143	5.283393663	-0.361303899	0.728029351	0.906442106	-6.321930773
ZNF540	-0.12465391	5.593345671	0.361273424	0.72805119	0.906442106	-6.321942719
SPTBN2	0.155116736	6.753375671	-0.361271409	0.728052635	0.906442106	-6.321943509
CWH43	-0.09563011	5.255152051	0.361251252	0.728067081	0.906442106	-6.32195141
HTR3D	-0.091080704	5.67955541	0.361171031	0.728124572	0.906455179	-6.321982851
PNKP	0.070201979	9.082494865	-0.360670155	0.728483578	0.906770288	-6.322179005
PRTFDC1	0.074977823	10.42410966	-0.360544901	0.728573366	0.906770288	-6.322228017
ARF1	0.057813809	13.29049251	-0.360513199	0.728596092	0.906770288	-6.322240419
TEX13B	-0.060902648	5.052920997	0.360471046	0.728626311	0.906770288	-6.322256908
FAM76B	0.095023217	7.879655938	-0.360422304	0.728661254	0.906770288	-6.322275973
NOL9	0.068784079	10.00156476	-0.360375261	0.728694979	0.906770288	-6.32229437
BAGE3	0.112061664	6.972472714	-0.360358857	0.728706739	0.906770288	-6.322300784
GOLM2	-0.055765946	10.51846362	0.360193522	0.728825275	0.906859289	-6.322365422
ARMT1	-0.073408106	9.333608064	0.36006121	0.728920141	0.906918828	-6.322417129
THBS2	-0.200094284	5.429081708	0.359935769	0.729010084	0.906972236	-6.322466133
REG1B	0.11938449	5.121532175	-0.359817891	0.72909461	0.907018897	-6.322512168
SLC2A10	0.116276811	7.279773449	-0.359668387	0.729201818	0.907055713	-6.322570533
COX6B2	-0.117136893	5.860705674	0.359645477	0.729218248	0.907055713	-6.322579475
HSPA14	-0.052894982	10.53529077	0.359331697	0.72944328	0.907105846	-6.322701887
SLCO1A2	-0.15357072	5.356674693	0.359317171	0.729453699	0.907105846	-6.322707552
LINC01140	-0.100034883	5.478084985	0.359283906	0.729477557	0.907105846	-6.322720523
PRR18	-0.107765279	5.608037142	0.359100392	0.729609183	0.907105846	-6.322792059
CD33	-0.101295011	5.991174911	0.359037739	0.729654124	0.907105846	-6.322816474
FAM102B	-0.072716074	6.931257166	0.359015386	0.729670158	0.907105846	-6.322825184
TMEM52	-0.123634309	5.3125164	0.35900012	0.729681108	0.907105846	-6.322831132
ANKRD11	0.067811201	11.83951742	-0.358938929	0.729725001	0.907105846	-6.322854971
NOP56	0.057492717	12.0750484	-0.358804697	0.729821292	0.907105846	-6.322907251
TMEM50A	0.057151099	11.98815604	-0.358629979	0.729946633	0.907105846	-6.322975272
MMP28	-0.157722458	6.35038158	0.358618712	0.729954716	0.907105846	-6.322979657
MSANTD2	-0.065177636	10.18399571	0.358601263	0.729967234	0.907105846	-6.322986448
GID4	0.080584886	7.701084517	-0.358561438	0.729995806	0.907105846	-6.323001947
OR2AE1	0.085160981	4.976253976	-0.358468779	0.730062284	0.907105846	-6.323038001
PARP16	-0.058044139	9.765154741	0.358362059	0.730138853	0.907105846	-6.323079515
AKAP8L	0.083436564	8.884897025	-0.358355081	0.73014386	0.907105846	-6.323082229
ST8SIA2	-0.121166721	5.507850027	0.358318921	0.730169805	0.907105846	-6.323096293
CEP128	0.093909898	7.621936488	-0.358308595	0.730177213	0.907105846	-6.323100308
TAS1R3	0.089670168	5.513153707	-0.358297862	0.730184915	0.907105846	-6.323104482
ZFP2	-0.092100208	5.15137151	0.35825273	0.730217298	0.907105846	-6.323122032
DHDH	0.233000763	6.048447456	-0.35820765	0.730249644	0.907105846	-6.32313956
POTEA	-0.116061421	5.395998494	0.358147096	0.730293094	0.907105846	-6.3231631
FMR1NB	-0.091792601	4.555487871	0.357964048	0.730424445	0.907210582	-6.323234236
CPNE1	-0.060163107	13.11414751	0.357842064	0.730511984	0.907260892	-6.323281623
MEG3	0.094888536	5.449877162	-0.357705656	0.730609879	0.907324057	-6.323334594
RAB2A	-0.057155532	12.3740989	0.357540909	0.730728119	0.907412476	-6.323398544
OR2F1	-0.073254026	5.336834672	0.35743309	0.730805505	0.907450157	-6.323440381
COMTD1	0.081292459	7.785096297	-0.357279812	0.730915525	0.907528352	-6.323499836
GPR75	-0.115121875	5.917747041	0.357174474	0.730991138	0.907563819	-6.323540682
TMIGD1	0.10931492	5.697191074	-0.357044049	0.731084764	0.907615994	-6.323591239
LCA5	-0.17479707	5.880908294	0.356984847	0.731127264	0.907615994	-6.323614182
C6orf201	-0.078267328	10.4757954	0.35691575	0.731176868	0.907619163	-6.323640954
CARD8	-0.055443653	7.831901571	0.356764967	0.73128512	0.907661212	-6.32369936
STAG3L2	0.051846209	10.53144283	-0.356737486	0.73130485	0.907661212	-6.323710003
TGFBR1	0.074624347	9.625987994	-0.356594006	0.731407866	0.907686033	-6.323765553
CYP4F8	0.099761925	5.183089131	-0.356503919	0.731472549	0.907686033	-6.323800421
ZNF280D	-0.063324362	7.691496371	0.356478651	0.731490692	0.907686033	-6.323810199
STPG3	0.133477114	6.14560367	-0.356447489	0.731513067	0.907686033	-6.323822258
COPZ2	0.097400631	6.967400152	-0.356132412	0.73173932	0.907908373	-6.323944121
DAZ3	0.092056531	4.967341268	-0.35597909	0.731849428	0.907951823	-6.324003385
PTDSS2	0.120697048	8.225471978	-0.35591	0.731899048	0.907951823	-6.324030082
PDZRN3-AS1	0.083388373	5.187119863	-0.355831483	0.731955439	0.907951823	-6.324060416
RABGGTA	-0.06191027	8.575825002	0.355821495	0.731962613	0.907951823	-6.324064274
UPF2	-0.072154779	9.826612407	0.355607614	0.732116233	0.908083984	-6.324146869
GIMAP5	-0.145616881	5.362509996	0.35549241	0.732198984	0.908128232	-6.324191338
CRYAA	-0.081534175	5.262520889	0.355406917	0.732260395	0.908136429	-6.324224329
KCNK5	0.088878455	9.564637901	-0.355117953	0.732467981	0.908136429	-6.324335781
NKIRAS2	-0.077225872	9.778275876	0.35510882	0.732474542	0.908136429	-6.324339303
CPNE8	0.070835253	10.61486725	-0.355095965	0.732483778	0.908136429	-6.324344259
TRIM14	0.051372553	9.987703737	-0.355008468	0.732546638	0.908136429	-6.324377987
LOC644285	0.064525153	5.143191048	-0.354891136	0.732630938	0.908136429	-6.324423203
ANGEL2	-0.092129827	7.28865096	0.354827781	0.732676458	0.908136429	-6.324447612
KRT79	-0.186605342	5.502974086	0.354750499	0.732731986	0.908136429	-6.324477381
YY1	-0.065256266	10.69462161	0.354734848	0.732743232	0.908136429	-6.324483409
NRSN2	-0.057667157	10.00413165	0.354644044	0.732808479	0.908136429	-6.324518378
MPEG1	0.165211001	5.415044156	-0.354602685	0.732838198	0.908136429	-6.324534302
PRNP	-0.070156861	10.30459032	0.354473546	0.732930995	0.908136429	-6.324584013
USP50	-0.095209826	6.150798335	0.354465126	0.732937046	0.908136429	-6.324587253
RBM23	-0.053251469	10.71531204	0.354335471	0.733030219	0.908136429	-6.324637144
NTAQ1	0.072094084	9.354494006	-0.354276967	0.733072262	0.908136429	-6.32465965
EPHX1	0.068241008	13.69746686	-0.353972077	0.733291388	0.908136429	-6.324776882
PGM2L1	-0.106263206	7.913644135	0.353918465	0.733329922	0.908136429	-6.324797486
CNTD1	-0.07579356	8.01653948	0.353907589	0.733337739	0.908136429	-6.324801665
AP3D1	0.056798565	9.777014971	-0.353906559	0.73333848	0.908136429	-6.324802061
MCPH1-AS1	0.140794923	5.100625926	-0.353886009	0.73335325	0.908136429	-6.324809957
MUC4	-0.064115628	9.33346253	0.353874136	0.733361784	0.908136429	-6.32481452
SIKE1	-0.07500784	8.333279219	0.353872764	0.73336277	0.908136429	-6.324815047
CELSR3	-0.08021597	7.704594461	0.353762242	0.733442212	0.908136429	-6.324857507
PSCA	0.160145787	7.549245383	-0.353757698	0.733445479	0.908136429	-6.324859253
HOXC8	0.148609944	6.604350676	-0.353736547	0.733460682	0.908136429	-6.324867377
LRRFIP1	0.060922347	12.64838171	-0.353629411	0.733537695	0.908136429	-6.324908522
LINC01521	-0.11859322	5.413138547	0.353569757	0.733580577	0.908136429	-6.324931427
PCDHGA6	-0.091510364	6.492763213	0.353513937	0.733620704	0.908136429	-6.324952855
LAMA2	0.160583545	6.20275535	-0.353511763	0.733622267	0.908136429	-6.32495369
STX4	-0.056939306	11.55864554	0.353490005	0.733637908	0.908136429	-6.324962042
POMGNT1	-0.056156227	10.73924325	0.353452301	0.733665013	0.908136429	-6.324976513
CPSF7	0.076832109	10.94842339	-0.35338306	0.733714791	0.90813977	-6.325003085
DNAJB14	-0.07385896	9.235847588	0.352893152	0.734067026	0.908517447	-6.325190951
SUSD4	-0.104560735	5.48541454	0.352717917	0.734193034	0.908566718	-6.325258087
FHL2	0.054480322	9.482291202	-0.352688882	0.734213913	0.908566718	-6.325269208
LURAP1	0.058924779	5.15670488	-0.35264129	0.734248137	0.908566718	-6.325287435
ZBTB43	-0.067455906	8.299573639	0.35236856	0.734444275	0.908725254	-6.325391837
FAM50A	0.057649423	12.56880032	-0.35218066	0.734579417	0.908725254	-6.325463721
LDLRAD1	-0.122474188	5.747028433	0.352156274	0.734596957	0.908725254	-6.325473048
ITGA1	0.088212003	5.089950542	-0.352117752	0.734624665	0.908725254	-6.32548778
IFI44	-0.134334591	6.317759048	0.352096717	0.734639795	0.908725254	-6.325495823
NXPH2	-0.137171304	4.995728488	0.351894601	0.734785178	0.908725254	-6.325573087
SLC22A6	-0.085810177	5.191651712	0.351890512	0.734788119	0.908725254	-6.325574649
ILRUN	-0.074871542	10.18901761	0.351838332	0.734825654	0.908725254	-6.325594589
CTSG	-0.126971648	5.375978149	0.351817077	0.734840944	0.908725254	-6.32560271
NUP43	0.061929296	8.270189892	-0.351808182	0.734847343	0.908725254	-6.325606109
SS18	0.060844687	12.81773799	-0.351339288	0.735184678	0.908984108	-6.325785147
LINC01560	-0.053032489	8.465775959	0.351334478	0.735188138	0.908984108	-6.325786982
RPS3	0.058125283	13.58198409	-0.351320726	0.735198033	0.908984108	-6.32579223
PDIA6	0.056035588	12.6430922	-0.351191656	0.735290901	0.909013065	-6.325841469
PPP6R3	0.066868556	9.225267378	-0.35115719	0.735315701	0.909013065	-6.325854615
KLC4	-0.117472239	7.462249747	0.350801796	0.73557144	0.909270943	-6.325990093
HAND2	0.273666981	6.970330685	-0.350388403	0.73586896	0.909533856	-6.326147515
REEP4	-0.061247211	10.16345778	0.350375246	0.735878429	0.909533856	-6.326152522
ING3	0.059608254	8.121204407	-0.350173403	0.736023714	0.909566526	-6.326229316
NSD2	-0.054962469	10.09906492	0.350105309	0.736072731	0.909566526	-6.326255214
HNRNPA0	-0.052861178	13.59936647	0.350088584	0.73608477	0.909566526	-6.326261574
SMAD1	-0.073385042	9.066448119	0.350076497	0.73609347	0.909566526	-6.32626617
OR2T12	-0.092589992	4.805275089	0.349863739	0.73624663	0.909667849	-6.32634705
ADPRS	-0.052051285	9.635359905	0.349831577	0.736269784	0.909667849	-6.326359272
DMWD	-0.112608083	8.206687894	0.349632145	0.736413364	0.909718249	-6.326435036
NHLH2	-0.151651537	5.345612724	0.349570694	0.736457608	0.909718249	-6.326458372
TSKU	-0.073336737	9.590061876	0.349422588	0.736564246	0.909718249	-6.326514601
TMA7	0.055325998	11.76177292	-0.349297994	0.73665396	0.909718249	-6.326561885
TRGV5	-0.124134356	5.078906607	0.349293556	0.736657155	0.909718249	-6.326563569
LCE3B	0.173173194	6.022604924	-0.349285778	0.736662756	0.909718249	-6.32656652
S1PR3	0.075393358	5.078724585	-0.349246573	0.736690986	0.909718249	-6.326581395
HMGB3	-0.059932921	11.67157489	0.349137323	0.736769657	0.909718249	-6.326622836
DND1	0.166745867	7.908351307	-0.349063829	0.736822582	0.909718249	-6.326650708
UNC93A	-0.201363136	6.899657436	0.349008138	0.736862687	0.909718249	-6.326671824
TTC7B	0.137682619	6.746804562	-0.348952058	0.736903073	0.909718249	-6.326693084
HEXIM1	-0.076932696	9.867493565	0.348916963	0.736928348	0.909718249	-6.326706388
OR6B1	-0.094010892	4.977393882	0.348823631	0.736995564	0.909718249	-6.32674176
CRLS1	-0.055792988	11.1889782	0.34880862	0.737006375	0.909718249	-6.326747448
JADE3	-0.059351571	10.63138086	0.34879251	0.737017978	0.909718249	-6.326753552
CDKN2D	-0.089176298	7.148198844	0.348688188	0.737093113	0.909732235	-6.326793075
CD6	0.110571339	5.494388642	-0.348625819	0.737138034	0.909732235	-6.326816699
LPAR3	-0.110368722	4.975311186	0.348577955	0.737172508	0.909732235	-6.326834825
SLC4A10	-0.102354611	4.733384659	0.348514863	0.737217952	0.909732235	-6.326858715
PLA2G2F	0.147151137	6.08537261	-0.348418221	0.737287564	0.909759938	-6.326895301
SCAF11	-0.070038071	11.96221564	0.348241622	0.737414775	0.909801472	-6.32696213
ZNF556	0.083555064	5.562953892	-0.348191832	0.737450643	0.909801472	-6.326980966
METTL21A	0.078642846	8.180749222	-0.34817507	0.737462717	0.909801472	-6.326987307
KLK6	-0.129640409	5.832620223	0.34792526	0.737642684	0.909941794	-6.327081768
ARNT2	0.068162498	5.265015545	-0.347862468	0.737687924	0.909941794	-6.327105501
GMNN	-0.065009023	9.629017589	0.347776047	0.737750189	0.909941794	-6.327138159
POLI	-0.114550008	5.41483386	0.347755288	0.737765146	0.909941794	-6.327146002
ZBTB49	0.128547875	7.209787002	-0.347457871	0.737979447	0.910128854	-6.327258326
ADGRB1	-0.205095866	5.273115746	0.347413842	0.738011174	0.910128854	-6.327274946
TAS2R4	-0.09427314	5.155309546	0.347253421	0.738126776	0.910190813	-6.327335486
MREG	0.056328547	5.571517021	-0.347213168	0.738155784	0.910190813	-6.327350672
RCAN2	-0.069021962	5.186993214	0.347075625	0.738254907	0.91022177	-6.327402551
SCAP	0.055149298	10.50962706	-0.346997536	0.738311186	0.91022177	-6.327431995
NDRG4	-0.061553754	9.390048856	0.346981909	0.738322449	0.91022177	-6.327437887
NFS1	0.050890654	10.77685964	-0.34688375	0.738393195	0.910250814	-6.327474889
RBIS	0.09391765	8.166267021	-0.3467626	0.738480515	0.910300283	-6.327520543
SAR1B	-0.057813268	10.80987159	0.346685558	0.738536046	0.910310564	-6.327549568
ARPIN	-0.110758386	9.212523653	0.346535259	0.738644384	0.910354831	-6.327606173
TENT4A	0.075061246	8.650415319	-0.346504793	0.738666346	0.910354831	-6.327617644
RHAG	-0.081199889	5.187469554	0.346201761	0.738884799	0.910532853	-6.32773169
DCAF10	-0.061476043	10.20760678	0.346149884	0.738922199	0.910532853	-6.327751204
GPAM	0.061393461	7.698945698	-0.346107992	0.738952401	0.910532853	-6.32776696
CLEC2A	-0.061458013	4.887028025	0.346032676	0.739006702	0.910533088	-6.327795283
AQP11	0.145111079	5.478315313	-0.345935665	0.739076647	0.910533088	-6.327831755
S100A8	0.099561196	5.542242174	-0.345868572	0.739125022	0.910533088	-6.327856974
IL22RA2	-0.083321729	5.844626013	0.345845855	0.739141401	0.910533088	-6.327865511
SEM1	0.057983843	10.99876751	-0.345732575	0.739223082	0.910575559	-6.327908077
ANKHD1	-0.057268033	11.47767168	0.345509718	0.739383783	0.910640862	-6.327991777
SLC22A5	0.070670773	10.24791782	-0.345411649	0.739454504	0.910640862	-6.328028594
